Pais,Região,Estado,Sigla_estado,Mesoregião,Região_intermediaria,Microregião,Região_imediata,Municipios
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,CACOAL,CACOAL,ALTA FLORESTA D'OESTE
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,PORTO VELHO,ARIQUEMES,ARIQUEMES,ARIQUEMES
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,COLORADO DO OESTE,VILHENA,CABIXI
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,CACOAL,CACOAL,CACOAL
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,COLORADO DO OESTE,VILHENA,CEREJEIRAS
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,COLORADO DO OESTE,VILHENA,COLORADO DO OESTE
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,COLORADO DO OESTE,VILHENA,CORUMBIARA
Brasil,NORTE,RONDONIA,RO,MADEIRA-GUAPORE,JI-PARANA,GUAJARA-MIRIM,JI-PARANA,COSTA MARQUES
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,CACOAL,CACOAL,ESPIGAO D'OESTE
Brasil,NORTE,RONDONIA,RO,MADEIRA-GUAPORE,PORTO VELHO,GUAJARA-MIRIM,PORTO VELHO,GUAJARA-MIRIM
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,PORTO VELHO,JI-PARANA,JARU,JARU
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,JI-PARANA,JI-PARANA,JI-PARANA
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,PORTO VELHO,ARIQUEMES,JARU,MACHADINHO D'OESTE
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,ALVORADA D'OESTE,CACOAL,NOVA BRASILANDIA D'OESTE
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,JI-PARANA,JI-PARANA,OURO PRETO DO OESTE
Brasil,NORTE,RONDONIA,RO,LESTE RONDONIENSE,JI-PARANA,VILHENA,CACOAL,PIMENTA BUENO
Brasil,NORTE,RONDONIA,RO,MADEIRA-GUAPORE,PORTO VELHO,PORTO VELHO,PORTO VELHO,PORTO VELHO
